Best Alpha,CV Score,Estimator,Param CV,Param List,Scaling
,0.8188292356908246,LinearRegression,,,noscaling
,0.8773331921939915,LinearRegression,,,scaling
,0.8251905708426552,Ridge,,,noscaling
,0.882688274695701,Ridge,,,scaling
,0.820018744618015,Lasso,,,noscaling
,0.8827666143132756,Lasso,,,scaling
,0.6585756151380984,ElasticNet,,,noscaling
,0.8244991988022056,ElasticNet,,,scaling
{'ridge__alpha': 1.0},0.8826485647148924,Ridge,"[0.8804069248830424, 0.8807819338420636, 0.8826485647148924, 0.8824271431619781, 0.8673695675802874]","[0.01, 0.1, 1.0, 10, 100]",scaling
{'lasso__alpha': 100},0.8915495331373733,Lasso,"[0.8805196597340261, 0.8812088696175444, 0.8827091296645267, 0.8892340207922111, 0.8915495331373733]","[0.01, 0.1, 1.0, 10, 100]",scaling
{'elasticnet__alpha': 0.01},0.8832840683594904,ElasticNet,"[0.8832840683594904, 0.8685739947140181, 0.8244654454041502, 0.5963120910045634, 0.13222531379225144]","[0.01, 0.1, 1.0, 10, 100]",scaling
